{'seed': 42, 'physical_batch_size': 8, 'num_coarse_points': 1024, 'global_feat_dim': 1024, 'grid_size': 2, 'grid_scale': 0.05, 'max_epoch': 50, 'learning_rate': 0.0001, 'gpu': 0, 'decay_step': 50000, 'decay_rate': 0.7, 'log_dir': 'log'}
Training on device: cuda:0 | Hostname: c1-24-25-16134
Physical Batch: 8 | Accumulation Steps: 4

**** EPOCH 001 ****
Batch [08600/28974] | Loss: 0.0010 | LR: 0.000100
Batch [08700/28974] | Loss: 0.0011 | LR: 0.000100
Batch [08800/28974] | Loss: 0.0010 | LR: 0.000100
Batch [08900/28974] | Loss: 0.0014 | LR: 0.000100
Batch [09000/28974] | Loss: 0.0013 | LR: 0.000100
Batch [09100/28974] | Loss: 0.0009 | LR: 0.000100
Batch [09200/28974] | Loss: 0.0010 | LR: 0.000100
Batch [09300/28974] | Loss: 0.0011 | LR: 0.000100
Batch [09400/28974] | Loss: 0.0012 | LR: 0.000100
Batch [09500/28974] | Loss: 0.0008 | LR: 0.000100
Batch [09600/28974] | Loss: 0.0024 | LR: 0.000100
Batch [09700/28974] | Loss: 0.0021 | LR: 0.000100
Batch [09800/28974] | Loss: 0.0012 | LR: 0.000100
Batch [09900/28974] | Loss: 0.0014 | LR: 0.000100
Batch [10000/28974] | Loss: 0.0010 | LR: 0.000100
Batch [10100/28974] | Loss: 0.0009 | LR: 0.000100
Batch [10200/28974] | Loss: 0.0006 | LR: 0.000100
Batch [10300/28974] | Loss: 0.0012 | LR: 0.000100
Batch [10400/28974] | Loss: 0.0010 | LR: 0.000100
Batch [10500/28974] | Loss: 0.0012 | LR: 0.000100
Batch [10600/28974] | Loss: 0.0011 | LR: 0.000100
Batch [10700/28974] | Loss: 0.0006 | LR: 0.000100
Batch [10800/28974] | Loss: 0.0010 | LR: 0.000100
Batch [10900/28974] | Loss: 0.0009 | LR: 0.000100
Batch [11000/28974] | Loss: 0.0008 | LR: 0.000100
Batch [11100/28974] | Loss: 0.0032 | LR: 0.000100
Batch [11200/28974] | Loss: 0.0007 | LR: 0.000100
Batch [11300/28974] | Loss: 0.0027 | LR: 0.000100
Batch [11400/28974] | Loss: 0.0014 | LR: 0.000100
Batch [11500/28974] | Loss: 0.0012 | LR: 0.000100
Batch [11600/28974] | Loss: 0.0011 | LR: 0.000100
Batch [11700/28974] | Loss: 0.0018 | LR: 0.000100
Batch [11800/28974] | Loss: 0.0010 | LR: 0.000100
Batch [11900/28974] | Loss: 0.0010 | LR: 0.000100
Batch [12000/28974] | Loss: 0.0015 | LR: 0.000100
Batch [12100/28974] | Loss: 0.0008 | LR: 0.000100
Batch [12200/28974] | Loss: 0.0010 | LR: 0.000100
Batch [12300/28974] | Loss: 0.0007 | LR: 0.000100
Batch [12400/28974] | Loss: 0.0007 | LR: 0.000100
